Registered Corporations,Total scope 1 greenhouse gas emissions (t CO2-e),Total scope 2 greenhouse gas emissions (t CO2-e),Total energy consumption 3(GJ)
A J Bush & Sons Pty Ltd,"122,169","18,750","1,083,428"
A.A. Scott Pty Ltd,"120,151","7,649","1,754,221"
AAPC Limited,"16,612","179,939","1,006,315"
ABB Grain Ltd,"89,433","72,922","1,889,997"
ACTEW Corporation Ltd,"55,149","165,307","2,715,397"
Adelaide Brighton Ltd,"2,848,541","332,695","18,333,687"
Aditya Birla Minerals Ltd,"90,939","45,322","1,833,655"
AGL Energy Limited,"1,623,746","52,883","40,763,207"
Air Liquide Australia Limited,"13,797","376,882","1,989,323"
Alcan Gove Pty Limited,"1,947,103","6,158","28,510,872"
Alcoa Australian Holdings Pty Ltd,"6,851,770","10,663,159","205,631,046"
ALDI Stores (A Limited Partnership),"41,265","109,540","1,008,937"
Amcor Limited,"505,615","493,159","9,631,087"
AMP Limited,"8,066","183,534","793,474"
Anglo American Australia Limited,"3,795,406","575,737","11,456,579"
AngloGold Ashanti Australia Limited,"139,616",298,"2,611,360"
Apache Energy Limited,"642,669","1,138","3,855,786"
APT Pipelines Limited,"298,906","97,360","3,260,347"
Arrow Energy Ltd,"328,702","39,375","4,076,740"
Asciano Limited,"1,026,045","85,100","15,039,983"
Atco Power Holdings Pty. Ltd.,"771,178","51,690","15,851,824"
Australia And New Zealand Banking Group Ltd,"8,294","152,684","643,032"
Australian Postal Corporation,"94,352","223,367","2,222,073"
Axia Energy Australia Pty Ltd,"494,253",0,"9,845,085"
AZSA Holdings Pty Limited,"6,511,357","546,696","9,205,535"
Babcock & Brown Infrastructure Limited,"131,076","3,615","151,659"
Babcock & Brown Power Pty Ltd,"8,045,893","122,153","103,272,652"
Baiada Pty Limited,"81,776","199,352","2,190,202"
Barrick (Australia Pacific Holdings) Pty Ltd,"200,172","240,780","4,281,752"
Barrick (PD) Australia Limited,"162,608","112,435","2,990,635"
BGC (Australia) Pty Ltd,"77,496","62,399","1,802,293"
BHP Billiton Aluminium Australia Pty Ltd,"2,691,930","303,124","40,722,886"
BHP Billiton Energy Coal Australia Pty Ltd,"844,507","64,397","3,506,751"
BHP Billiton Limited,"5,061,340","2,264,208","39,201,749"
BHP Billiton Nickel Operations Pty Ltd,"1,151,089","49,421","17,183,185"
