Registered Corporations,Total scope 1 greenhouse gas emissions (t CO2-3),Total scope 2 greenhouse gas emissions (t CO2-3),Total energy consumption (GJ)
A J Bush & Sons Pty Ltd,"109,012","19,114","1,133,354"
A.A. Scott Pty Ltd,"129,552","6,234","1,886,589"
A.C.N. 098 904 262 Pty Ltd,"124,893",0,"1,794,184"
A.C.N. 137 191 023 Pty Ltd,"81,012","69,537","1,733,594"
AAPC Limited,"17,716","174,845","1,012,140"
ACTEW Corporation Ltd1,"58,762","160,241","760,868"
Adelaide Brighton Ltd,"3,095,806","291,221","20,892,346"
Aditya Birla Minerals Ltd,"83,786","26,550","1,650,346"
AGL Energy Limited1,"1,435,808","53,594","36,061,683"
Air Liquide Australia Limited,"4,014","291,482","1,348,329"
Alcan Gove Pty Limited,"1,987,588","7,808","29,230,557"
Alcoa Australian Holdings Pty Ltd1,"6,757,567","9,804,728","148,367,174"
ALDI Stores (A Limited Partnership),"37,750","135,237","855,288"
Alinta Energy Limited,"7,863,143","145,715","100,083,644"
Amalgamated Holdings Limited,370,"145,731","757,974"
Amcor Limited,"510,377","511,524","9,966,094"
AMP Limited,"7,360","173,098","737,234"
Anglo American Australia Limited,"4,059,269","590,957","10,959,630"
AngloGold Ashanti Australia Limited,"148,797",316,"2,911,075"
Apache Energy Limited,"864,379",937,"158,747,704"
APT Pipelines Limited,"305,076","92,951","3,248,069"
Arnotts Biscuits Holdings Pty Ltd,"28,982","61,980","781,497"
Arrow Energy Ltd,"394,246","40,304","3,740,091"
Asciano Limited,"1,023,720","108,494","15,100,720"
Aurora Energy Pty Ltd,"502,846","92,372","11,159,694"
Auscan Holdings Pty Ltd,"144,361",60,"1,981,701"
Australia and New Zealand Banking Group Ltd,"7,126","160,043","654,413"
Australian Postal Corporation,"88,275","221,724","2,141,555"
Axia Energy Australia Pty Ltd,"488,958",0,"9,652,581"
AZSA Holdings Pty Limited,"6,117,764","526,177","9,864,248"
Baiada Pty Limited,"134,785","170,264","2,197,475"
Barrick (Australia Pacific Holdings) Pty Ltd,"190,018","244,699","4,704,787"
Barrick (PD) Australia Limited,"161,427","104,433","3,448,488"
Bega Cheese Limited,"41,346","94,877","1,349,124"
BGC (Australia) Pty Ltd,"95,994","65,119","2,147,615"
BHP Billiton Aluminium Australia Pty Ltd,"2,313,184","350,985","37,414,742"
BHP Billiton Energy Coal Australia Pty Ltd,"873,293","56,018","3,466,128"
BHP Billiton Limited,"5,150,942","1,819,255","39,290,140"
BHP Billiton Nickel Operations Pty Ltd,"132,110","3,222","1,643,685"
Big Ben Holdings Pty. Limited,"216,370","29,608","903,323"
Billiton Manganese Australia Pty Ltd,"522,231","174,541","8,218,336"
BlueScope Steel Limited,"10,791,351","1,424,605","129,555,224"
BM Alliance Coal Operations Pty Ltd,"2,469,229","1,067,608","20,250,981"
BOC Limited,"28,381","640,598","2,733,282"
Boeing Australia Holdings Proprietary Limited,"34,464","54,788","692,761"
Boral Limited2,"2,328,307","546,048",
BP Regional Australasia Holdings Pty Ltd,"1,472,407","477,610","28,725,886"
Bradken Limited,"29,817","89,723","944,418"
Brickworks Ltd,"293,363","127,345","6,322,368"
Brisbane City Council1,"222,603","76,827","2,721,895"
Building Supplies Group Holding Pty Ltd,"91,697","320,198","9,322,717"
Burrup Fertilisers Pty Ltd,"1,538,899",0,"30,037,216"
Byrns Smith Unit Trust,"84,113","7,813","1,225,589"
C S Energy Limited,"16,824,919","98,818","198,800,018"
