Registered Corporations,Total scope 1 greenhouse gas emissions (t CO2-e),Total scope 2 greenhouse gas emissions (t CO2-e),Total energy consumption (GJ)
A J Bush & Sons Pty Ltd,"116,661","19,791","1,234,682"
A.A. Scott Pty Ltd,"156,260","7,983","2,278,327"
A.C.N. 098 904 262 Pty Ltd,"133,254",0,"1,914,299"
A.C.N. 137 191 023 Pty Ltd,"82,223","72,632","1,782,922"
AAPC Limited,"14,819","145,508","837,993"
ABC Tissue Products Pty Limited,"26,420","71,442","797,017"
ACN 085 239 998 Pty Ltd,"5,984","220,876","948,630"
ACTEW Corporation Ltd,"74,715","152,066","872,798"
Adelaide Brighton Ltd,"2,818,115","293,662","19,006,479"
Aditya Birla Minerals Ltd,"89,473","22,166","2,156,212"
AGL Energy Limited,"1,545,278","51,062","48,878,147"
Air Liquide Australia Limited,"4,496","289,949","1,279,089"
Alacer Gold Pty Ltd,"64,395","28,652","1,271,990"
Alcan Gove Pty Limited,"1,939,509","7,401","28,496,005"
Alcoa Australian Holdings Pty Ltd,"8,077,434","9,960,835","173,635,531"
ALDI Stores (A Limited Partnership),"28,565","153,736","901,235"
Alfred Health,"3,602","51,069","401,847"
Alinta Energy Finance Pty Ltd,"6,203,051","35,954","81,081,528"
Alliance Airlines Pty Limited,"90,809",988,"1,308,719"
Amalgamated Holdings Limited,"10,426","149,281","774,876"
Amcor Limited,"557,223","498,193","10,950,937"
AMP Limited,"11,903","182,787","840,663"
Anglo American Australia Limited,"3,292,840","578,887","12,036,987"
AngloGold Ashanti Australia Limited,"137,799",334,"2,730,357"
Apache Energy Limited,"671,471",776,"143,743,187"
APT Pipelines Limited,"297,099","155,569","3,361,679"
Ardent Leisure Limited,"1,744","50,447","224,869"
Armesto's Transport Pty Ltd,"63,425",109,"910,059"
Arnotts Biscuits Holdings Pty Ltd,"28,622","61,516","786,558"
Arrow Energy Holdings Pty Ltd,"895,391","45,413","17,385,492"
Asciano Limited,"986,020","138,340","14,668,557"
ASP Ship Management Pty Ltd,"60,511",0,"828,136"
ATCO Power Holdings Pty. Ltd.,"961,143","47,571","19,424,000"
Aurora Energy Pty Ltd,"645,602","106,393","13,780,471"
Auscan Holdings Pty Ltd,"198,258",52,"2,723,213"
Ausgrid,"30,032","1,038,775","4,553,683"
Austin Health,"15,347","51,309","446,187"
Australia and New Zealand Banking Group Ltd,"7,825","158,569","659,371"
Australia Pacific Airports Corporation Limited,"8,276","68,770","359,803"
Australian National University,"12,011","76,453","505,024"
Australian Postal Corporation,"86,755","211,923","2,086,754"
Australian Transit Enterprises Pty Ltd,"52,376","1,785","823,170"
Automotive Holdings Group Limited,"28,236","36,022","558,101"
AUX Investments Pty Ltd,"39,811","23,363","670,806"
Axia Energy Australia Pty Ltd,"489,793",15,"9,740,687"
AZSA Holdings Pty Limited,"6,268,002","482,613","11,989,439"
Baiada Pty Limited,"98,832","208,414","2,376,523"
Barrick (Australia Pacific Holdings) Pty Ltd,"194,761","233,129","4,807,100"
Barrick (PD) Australia Limited,"122,792","102,370","2,675,378"
Barwon Region Water Corporation,"25,925","31,576","133,624"
Bega Cheese Limited,"41,891","88,647","1,357,158"
BG International (AUS) Investments Pty Limited,"504,058","25,292","9,367,443"
BGC (Australia) Pty Ltd,"102,185","75,601","2,394,542"
BHP Billiton Aluminium Australia Pty Ltd,"2,269,154","298,829","38,451,242"
BHP Billiton Energy Coal Australia Pty Ltd,"1,009,319","66,542","4,274,589"
BHP Billiton Limited,"6,261,032","2,111,515","92,148,847"
Bidvest Australia Limited,"16,169","44,642","409,802"
Big Ben Holdings Pty. Limited,"196,330","25,966","809,195"
Billiton Manganese Australia Pty Ltd,"615,428","283,109","10,029,805"
Blacktown Waste Services Pty Limited,"85,070",85,"15,116"
BlueScope Steel Limited,"11,371,293","1,565,953","239,263,572"
BM Alliance Coal Operations Pty Ltd,"2,073,984","925,041","18,619,463"
BOC Limited,"66,136","581,780","2,610,261"
Boeing Australia Holdings Proprietary Limited,"36,091","53,834","730,985"
Boral Limited,"2,448,146","549,468",
Borg Manufacturing Pty Ltd,"31,506","90,527","1,485,958"
BP Australia Investments Pty Ltd,"1,596,268","501,504","473,978,287"
Bradken Limited              ,"35,844","104,031","1,124,537"
Brickworks Ltd,"289,588","125,546","6,162,594"
Brisbane City Council,"263,920","18,271","2,504,217"
Brookfield HoldCo (Australia) Pty Limited,"7,277","70,313","352,472"
Building Supplies Group Holding Pty Ltd,"73,218","223,776","7,619,578"
Burrup Fertilisers Pty Ltd,"1,484,877",0,"29,370,694"
Byrns Smith Unit Trust,"80,833","7,243","1,228,165"
C S Energy Limited,"14,880,516","105,497","182,516,197"
Caledon Coal Pty Limited,"179,749","16,215","107,360"
Caltex Australia Limited,"1,869,326","315,115","467,615,801"
Cargill Australia Limited,"63,237","47,537","862,586"
Catalpa Resources Ltd,"20,433","43,744","490,367"
CBH Resources Limited,"6,633","61,844","346,135"
Cement Australia Holdings Pty Ltd,"2,665,073","281,824","13,735,025"
Centennial Coal Company Limited,"2,095,478","261,822","1,535,072"
Central Gippsland Region Water Corporation,"48,693","29,288","119,031"
Central Northern Adelaide Health Service,"17,422","58,011","620,350"
Centro Properties Limited,"2,964","144,582","602,592"
CEVA Pty Ltd,"80,214","24,663","1,244,628"
Charter Hall Limited,"4,858","96,374","424,717"
CHEDHA Holdings Pty Limited,"17,466","1,404,279","4,349,993"
Chemco Pty Ltd,"26,312","125,942","2,387,608"
Chevron Australia Holdings Pty Ltd,"367,663","7,531","4,888,846"
CITIC Pacific Mining Management Pty Ltd,"127,419",388,"2,017,453"
City of Greater Geelong,"70,834","27,178","314,930"
Clarke Energy (Australia) Pty Ltd,"115,325",0,"2,263,333"
Cliffs Asia Pacific Iron Ore Pty Ltd,"88,538",305,"1,334,325"
Coca-Cola Amatil Limited,"52,463","122,591","1,383,391"
ComfortDelGro Cabcharge Pty Ltd.,"81,091","3,450","1,173,201"
Comgen Australia Pty Ltd,"467,998","10,027","1,622,562"
Commonwealth Bank of Australia,"20,736","387,520","1,812,799"
Commonwealth Scientific and Industrial Research Organisation,"15,622","116,627","723,398"
Competitive Foods Australia Pty Ltd,"14,824","130,556","766,288"
Conoco Phillips Australia Gas Holdings Pty Ltd,"1,679,218","1,671","221,828,266"
Consolidated Minerals Holdings (Australia) Pty Ltd,"114,431","1,131","1,758,039"
Controlling Corporation Griffith University,"1,277","55,239","242,526"
Contura Mining Pty Ltd,"54,596","2,179","796,113"
Cristal Australia Pty Ltd,"49,466","61,744","944,281"
Crown Limited,"35,584","164,337","1,239,659"
CSL Limited,"11,997","63,067","416,833"
CSR Limited,"510,497","349,813","39,058,202"
D&R Henderson Pty Ltd,"19,369","48,529","655,019"
Dalrymple Bay Coal Terminal Pty Ltd,933,"85,782","360,609"
David Jones Limited,"5,009","101,602","411,895"
DBNGP (WA) Transmission Pty Limited,"264,234","1,714","4,738,920"
Deakin University,"7,910","46,547","280,157"
Delta Electricity,"19,793,460","189,016","231,098,664"
Dexus Holdings Pty Limited,"8,702","123,421","586,741"
Donaldson Coal Pty Limited,"53,437","21,129","207,553"
Doral Pty Ltd,"18,778","76,007","628,304"
Downer EDI Limited,"217,793","47,768","9,670,981"
DP World Australia (Holding) Pty Ltd,"34,831","50,454","692,242"
Eastern Star Gas Limited,"80,517",198,"794,794"
Ecogen Holdings Pty Ltd,"158,432","33,415","3,276,150"
Elders Limited,"24,166","40,759","511,465"
ElectraNet Pty Ltd,"4,237","224,076","1,151,749"
Electricity Generation Corporation T/A Verve Energy,"7,918,036","6,113","104,059,488"
Electricity Networks Corporation,"22,165","956,773","4,469,452"
Endeavour Energy,"13,841","646,376","2,765,011"
Energex Limited,"28,795","1,149,620","5,623,292"
Energy Developments Limited,"707,245","2,595","21,030,161"
Envestra Limited,"403,693",51,256
Envirogen Pty Ltd,"130,079",81,"2,305,788"
Epic Energy Holdings Pty Limited,"76,135","1,078","1,092,151"
Eraring Energy,"11,725,490","79,764","136,521,278"
Ergon Energy Corporation Limited,"106,157","771,915","4,685,392"
ERM Kwinana Holding Pty Ltd,"796,720",736,"15,625,463"
ERM Power Limited,"63,970","2,732","1,263,529"
Esperance Power Station Pty Ltd,"63,822",0,"1,173,377"
Essential Energy,"45,711","781,536","3,615,355"
ETSA Utilities,"14,649","552,911","2,927,648"
Exxonmobil Australia Pty Ltd,"2,499,336","256,282","628,000,688"
F & F Management Pty. Ltd,"1,990","57,514","243,375"
Fairfax Media Limited,"9,078","84,873","457,701"
Farstad Shipping (Indian Pacific) Pty Ltd,"160,862",145,"2,315,193"
Finasucre Investments (Australia) Pty Limited,"80,803","14,505","11,829,471"
Fitness First Asia Pacific Group Pty Limited,"3,859","57,570","295,260"
Fletcher Building (Australia) Pty Ltd,"93,669","332,074","4,205,296"
Food Investments Pty Ltd,"107,486","171,717","2,396,496"
Ford Motor Company of Australia Limited,"31,016","182,502","1,112,171"
Forestry Commission Of New South Wales,"62,348","2,091","903,573"
Fortescue Metals Group Ltd,"601,533","40,242","9,476,747"
Foster's Group Limited,"61,074","132,154","1,391,830"
Frequency Infrastructure Australia Holdings Pty Ltd,"1,814","153,913","627,911"
Frito-Lay Australia Holdings Pty Limited,"35,622","36,239","818,834"
Fugro Holdings (Australia) Pty Ltd,"74,257","3,809","1,080,103"
Fujitsu Australia Limited,179,"72,364","276,402"
Fulton Hogan Australia Pty/Ltd,"111,374","23,158","7,965,400"
G James Pty Ltd,"12,673","40,660","375,665"
General Motors Australia Ltd,"38,550","122,369","1,276,530"
Gladstone Ports Corporation Limited,"30,925","64,615","707,849"
Glideco Pty Limited,"9,868","76,023","444,900"
Global Switch Australia Pty Limited,0,"116,873","467,490"
Gloucester Coal Ltd,"61,811","21,266","783,972"
Gold Fields Australia Pty Ltd,"87,112","130,358","2,192,900"
Goldfields Power Pty Ltd,"150,749",0,"2,915,474"
Golding Contractors Pty Ltd,"61,795",685,"268,158"
Goodman Fielder Limited,"72,290","88,547","1,525,171"
GPT Management Holdings Ltd,"9,463","154,112","742,335"
Graincorp Limited,"49,777","154,782","1,452,064"
Grange Resources Limited,"168,228","64,452","3,483,113"
Great Energy Alliance Corporation Pty Ltd,"19,378,906","247,305","213,649,799"
Gujarat NRE Coking Coal Limited,"760,619","48,133","233,967"
Gunns Limited,"8,787","50,069","2,093,937"
GWI Holdings No.2 Pty Ltd,"98,805","1,778","1,430,619"
Hamsdale Australia Pty Limited,"29,637","30,769","390,151"
Hanson Australia (Holdings) Proprietary Limited,"248,048","65,398","3,156,223"
Harvey Norman Holdings Limited,"5,041","163,641","705,504"
Healthscope Hospitals Holdings Pty Ltd,"10,698","87,900","563,214"
Heinz Watties Pty Ltd,"42,508","40,673","720,314"
Hewlett-Packard South Pacific Pty Ltd,120,"85,907","286,050"
Holcim Participations (Australia) Pty Ltd.,"213,742","80,661","3,511,475"
Holiday Inns Holdings (Australia) Pty Ltd,"17,777","86,061","684,527"
Honan Holdings Pty Ltd,"337,139","228,512","5,766,564"
HP Enterprise Services Australia Pty Ltd,385,"56,975","237,579"
HRL Limited,"2,457,380","182,455","32,659,072"
Hunter Water Corporation,"32,871","71,686","374,824"
Huntsman Corporation Australia Pty Ltd,"14,632","76,788","2,282,012"
Hydro Aluminium Kurri Kurri Pty Ltd,"378,965","2,584,860","13,947,128"
Hyne & Son Pty. Limited,"6,611","66,645","2,761,055"
IBM A/NZ Holdings Pty Limited,971,"101,510","393,050"
ICC Holdings Pty Limited,"154,427","2,234","9,034,926"
Idemitsu Australia Resources Pty Ltd,"337,192","98,865","3,065,014"
Iluka Resources Limited,"642,775","181,379","9,015,295"
Incitec Pivot Limited,"994,797","158,876","23,355,394"
Independence Group NL,"32,765","21,595","765,769"
Inghams Enterprises Pty Limited,"68,479","216,914","1,960,266"
Interfrank Group Holdings Pty Ltd,"7,478","66,661","268,211"
International Energy Services Pty Ltd,"168,335","1,745","2,417,933"
International Power (Australia) Holdings Pty Ltd,"16,764,353","231,061","193,265,202"
Investa Property Group Holdings Pty Limited,"2,867","72,789","325,866"
IPMG Pty Limited (Formally IPMG (Holdings) Pty Limited),"16,419","84,253","629,425"
Isaac Plains Coal Management Pty Ltd,"95,921","10,526","945,975"
ISPT Pty Ltd,"4,068","89,354","400,441"
J.J. Richards & Sons Pty Ltd,"58,688","4,005","859,176"
James Hardie Austgroup Pty Ltd,"27,932","63,581","683,927"
JBS Holdco Australia Pty Ltd,"232,776","178,634","2,589,990"
Jellinbah Group Pty Ltd,"187,590","9,423","1,695,768"
Jet Systems Pty Ltd,"139,145","1,939","2,008,156"
John Swire & Sons Pty Ltd,"16,069","75,821","516,908"
Kagara Ltd,"44,969","45,556","966,478"
Kalari Proprietary Limited,"88,365","1,721","1,273,822"
Kalgoorlie Consolidated Gold Mines Pty Ltd,"244,133","307,319","4,839,889"
Kellogg Australia Holdings Pty Ltd,"17,382","39,155","487,461"
Keolis Australia Pty Ltd,"2,585","107,367","340,665"
Kimberly Clark Pacific Holdings Pty Ltd,"113,066","230,058","5,210,054"
Kimbriki Environmental Enterprises Pty Ltd,"51,231",235,"2,111"
