Registered Corporations,Scope 1,Scope 2,Scope 1+2,Energy Consumed
A J Bush & Sons Pty Ltd,"89,415","19,537","108,952","1,053,808"
A.A. Scott Pty Ltd,"155,979","7,557","163,536","2,273,705"
A.C.N. 098 904 262 Pty Ltd,"135,288",0,"135,288","1,943,518"
A.C.N. 137 191 023 Pty Ltd,"78,505","67,724","146,228","1,704,272"
AAPC Limited,"15,090","149,664","164,754","876,158"
ABC Tissue Products Pty Limited,"21,795","60,368","82,163","663,730"
ACN 085 239 998 PTY LTD,"6,252","212,125","218,378","941,040"
ACTEW Corporation Ltd,"68,765","150,201","218,966","760,833"
Adelaide Brighton Ltd,"2,814,132","283,866","3,097,998","18,213,600"
Aditya Birla Minerals Ltd,"107,175","37,710","144,885","2,667,221"
AGL Energy Limited,"21,741,632","303,574","22,045,206","274,972,535"
AIR LIQUIDE AUSTRALIA LIMITED,"9,364","283,331","292,695","1,265,508"
Alacer Gold Pty Ltd,"75,786","31,126","106,911","1,460,149"
Alcan Gove Pty Limited,"1,918,824","7,424","1,926,248","28,242,441"
Alcoa Australian Holdings Pty Ltd,"8,100,358","9,899,663","18,000,021","180,418,629"
ALDI Stores (A Limited Partnership),"31,241","165,548","196,790","984,494"
Alfred Health,"3,280","50,726","54,006","386,527"
Alinta Energy Finance Pty Ltd,"4,934,785","38,253","4,973,038","68,609,039"
Alliance Airlines Pty Limited,"128,229","1,120","129,349","1,846,928"
Amalgamated Holdings Limited,"10,193","136,224","146,418","727,129"
Amcor Limited,"521,981","485,994","1,007,975","10,442,537"
Americold Logistics Limited,"6,707","48,261","54,967","277,418"
AMP Limited,"7,989","178,503","186,492","780,363"
Anglo American Australia Limited,"3,196,464","609,726","3,806,190","15,739,864"
AngloGold Ashanti Australia Limited,"146,378",383,"146,761","2,911,959"
Apache Energy Limited,"508,422",817,"509,239","155,889,437"
APT Pipelines Limited,"327,239","153,937","481,176","3,675,398"
Ardent Leisure Limited,"2,646","51,914","54,560","253,491"
ARMESTO'S TRANSPORT PTY LTD,"50,048",125,"50,173","717,641"
Arnotts Biscuits Holdings Pty Ltd,"26,970","59,185","86,155","753,436"
Arrow Energy Holdings Pty Ltd,"745,955","44,509","790,464","14,547,812"
Asahi Holdings (Australia) Pty Ltd,"18,098","50,377","68,475","517,444"
Asciano Limited,"1,027,562","130,234","1,157,795","15,223,518"
ASP SHIP MANAGEMENT PTY LTD,"70,498",0,"70,498","964,752"
ATCO AUSTRALIA PTY. LTD.,"1,108,138","1,040","1,109,178","20,373,132"
Aurora Energy Pty Ltd,"663,090","79,053","742,143","14,028,940"
Auscan Holdings Pty Ltd,"194,315",51,"194,366","2,663,922"
Ausgrid,"31,215","1,092,235","1,123,450","4,822,073"
Austin Health,"13,745","52,034","65,779","420,790"
Australia and New Zealand Banking Group Ltd,"8,282","155,832","164,114","670,303"
AUSTRALIA PACIFIC AIRPORTS CORPORATION LIMITED,"7,591","66,189","73,780","341,641"
Australian Consolidated Food Holdings Pty Limited,"36,400","95,103","131,503","861,317"
Australian FPSO Management Pty Ltd,"38,086","16,820","54,906","90,374"
Australian National University,"13,075","81,440","94,515","543,481"
Australian Postal Corporation,"87,336","192,419","279,755","2,031,248"
Australian Rail Track Corporation Limited,"51,345","11,875","63,220","899,278"
Automotive Holdings Group Limited,"69,131","41,317","110,448","1,170,396"
AUX Investments Pty Ltd,"62,350","23,576","85,926","992,214"
Axia Energy Australia Pty Ltd,"481,159","17,869","499,028","9,568,645"
AZSA Holdings Pty Limited,"4,945,918","585,193","5,531,112","13,269,518"
B.M.D. HOLDINGS PTY. LIMITED,"61,474","1,314","62,787","889,886"
Baiada Pty Limited,"100,927","193,100","294,027","2,479,564"
Barrick (Australia Pacific Holdings) Pty Ltd,"199,001","233,102","432,104","4,872,980"
BARRICK (PD) AUSTRALIA LIMITED,"139,471","104,025","243,496","2,967,740"
Barwon Region Water Corporation,"17,854","41,439","59,293","228,700"
BEGA CHEESE LIMITED,"46,437","93,086","139,524","1,509,708"
BG International (AUS) Investments Pty Limited,"645,371","26,777","672,148","9,875,764"
BGC (Australia) Pty Ltd,"99,726","75,815","175,541","2,077,119"
BHP Billiton Aluminium Australia Pty Ltd,"2,277,117","349,003","2,626,120","39,411,825"
BHP Billiton Energy Coal Australia Pty Ltd,"1,277,134","73,302","1,350,436","5,086,395"
BHP Billiton Limited,"6,212,022","2,124,423","8,336,445","92,164,056"
Bidvest Australia Limited,"13,205","44,757","57,961","370,618"
BIG BEN HOLDINGS PTY. LIMITED,"208,439","29,427","237,866","907,073"
Billiton Manganese Australia Pty Ltd,"482,024","176,119","658,143","7,709,307"
Blacktown Waste Services Pty Limited,"60,103",91,"60,194","23,539"
BlueScope Steel Limited,"7,527,149","1,087,624","8,614,773","174,189,540"
BM Alliance Coal Operations Pty Ltd,"2,251,326","849,460","3,100,787","21,841,688"
BOC Limited,"29,942","577,931","607,874","2,679,399"
Boeing Australia Holdings Proprietary Limited,"15,780","45,024","60,804","402,717"
Boral Limited,"2,411,909","523,503","2,935,413","20,652,101"
Borg Manufacturing Pty Ltd,"32,913","90,580","123,493","1,528,609"
BP Australia Investments Pty Ltd,"1,421,797","488,101","1,909,898","491,489,932"
Bradken Limited,"37,243","102,060","139,303","1,149,004"
Brickworks Ltd,"213,638","99,481","313,119","4,618,974"
Brisbane City Council,"258,936","17,048","275,985","1,783,602"
Brisbane Markets Limited,"10,927","43,097","54,024","212,672"
Brookfield HoldCo (Australia) Pty Limited,"10,040","72,283","82,323","384,198"
Building Supplies Group Holding Pty Ltd,"63,431","207,333","270,765","7,162,925"
