Controlling Corporation Name,Corporate Total Scope 1 Emission (t CO2-e),Corporate Total Scope 2 Emission (t CO2-e),Corporate Total Energy Consumed (GJ),Important Notes
A J Bush & Sons Pty Ltd,"102,372","18,995","1,068,450",N/A
A.A. Scott Pty Ltd,"160,531","7,561","2,341,055",N/A
AAPC Limited,"19,700","193,782","1,141,028",N/A
ABC Tissue Products Pty Limited,"17,361","48,790","534,385",N/A
ACN 085 239 998 PTY LTD,"6,262","204,120","924,731",N/A
ACTEW Corporation Ltd,"67,196","152,594","771,104",N/A
Adelaide Brighton Ltd,"2,749,900","295,008","18,269,081",N/A
Aditya Birla Minerals Ltd,"100,243","36,601","2,094,919",N/A
AGL Energy Limited,"20,236,397","314,529","171,615,419",N/A
AIR LIQUIDE AUSTRALIA LIMITED,"31,429","289,415","1,211,178",N/A
Alacer Gold Pty Ltd,"76,199","30,559","1,244,477",N/A
Alcan Gove Pty Limited,"1,818,689",0,"24,275,075",N/A
Alcoa Australian Holdings Pty Ltd,"6,504,539","7,913,389","134,788,605",N/A
ALDI Foods Pty Limited,"35,217","179,777","1,091,964",N/A
Alinta Energy Finance Pty Ltd,"3,933,636","23,414","39,755,702",N/A
Alliance Airlines Pty Limited,"151,043","1,273","2,175,703",N/A
Amalgamated Holdings Limited,"10,105","138,752","745,341",N/A
Amcor Limited,"464,292","448,955","9,065,289",N/A
Americold Logistics Limited,"6,232","43,893","255,331",N/A
AMP Limited,"12,120","154,462","743,541",N/A
Anglo American Australia Limited,"2,983,508","603,997","13,550,746",N/A
AngloGold Ashanti Australia Limited,"153,818",409,"2,525,309",N/A
Apache Energy Limited,"762,832",973,"15,329,701",N/A
APT Pipelines Limited,"322,826","14,735","2,771,489",N/A
Ardent Leisure Limited,"2,685","55,944","273,758",N/A
Arnotts Biscuits Holdings Pty Ltd,"28,177","59,326","789,126",N/A
Arrium Limited,"3,009,787","1,210,070","41,487,028",N/A
ARROW ENERGY HOLDINGS PTY LTD,"790,407","46,614","11,496,622",N/A
Asahi Holdings (Australia) Pty Ltd,"19,010","55,191","554,698",N/A
Asciano Limited,"1,088,013","145,499","16,184,679",N/A
ASP SHIP MANAGEMENT PTY LTD,"70,219",0,"961,874",N/A
ATCO AUSTRALIA PTY. LTD.,"1,204,412","79,750","11,966,440",N/A
Atlas Iron Limited,"60,863",384,"881,299",N/A
