Controlling Corporation ,ABN,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Total Net Energy consumed  (GJ),Important Notes
A B C TISSUE PRODUCTS PTY LTD,33003085112,"25,660","61,440","755,253",N/A
A.A. Scott Pty Ltd,14007601667,"158,272","6,841","2,307,426",N/A
A.C.N. 085 239 998 PTY LTD,39085239998,"6,832","193,789","916,119",N/A
A.J. Bush & Sons Pty Ltd,77000134010,"109,584","18,577","1,087,875",N/A
AAPC LIMITED,87009175820,"17,897","179,051","1,061,546",N/A
Adelaide Brighton Limited,15007596018,"2,451,057","277,974","16,352,449",N/A
ADITYA BIRLA MINERALS LIMITED,37103515037,"81,805","6,011","1,592,253",N/A
AGL Energy Limited,74115061375,"19,622,185","306,355","165,131,979",N/A
AIR LIQUIDE AUSTRALIA LIMITED,57004385782,"39,101","283,854","1,276,136",N/A
ALCAN GOVE PTY LIMITED,76000453663,"1,439,810",0,"19,217,694",N/A
Alcoa Australian Holdings Pty Ltd,33096987370,"6,637,955","7,604,775","134,263,017",N/A
ALDI Foods Pty Limited,18086210139,"37,294","193,603","1,193,645",N/A
Alinta Energy Finance Pty Ltd,39149229998,"3,919,559","18,853","40,670,462",N/A
ALLIANCE AIRLINES PTY LIMITED,81107165980,"111,638",365,"1,605,750",N/A
Amalgamated Holdings Limited,51000005103,"10,506","137,492","768,907",N/A
Amcor Limited,62000017372,"7,044","58,827","329,102",N/A
AMP LIMITED,49079354519,"8,841","133,992","635,474",N/A
Anglo American Australia Limited,47004892371,"2,974,005","603,926","13,686,643",N/A
AngloGold Ashanti Australia Limited,42008737424,"277,711",340,"4,340,585",N/A
Apache Energy Limited,39009301964,"602,323","1,099","12,402,734",N/A
APT PIPELINES LIMITED,89009666700,"311,421","24,201","2,732,634",N/A
Ardent Leisure Limited,22104529106,"2,817","52,915","271,635",N/A
Arnotts Biscuits Holdings Pty Ltd,84080889621,"27,132","55,548","762,464",N/A
Arrium Limited,63004410833,"2,850,015","1,100,904","38,641,283",N/A
Arrow Energy Holdings Pty Ltd,94141385293,"1,009,399","41,821","14,287,139",N/A
Asahi Holdings (Australia) Pty Ltd,48135315767,"18,612","54,968","551,250",N/A
Asaleo Care Limited,61154461300,"47,720","154,553","1,402,255",N/A
ASCIANO LIMITED,26123652862,"1,064,681","166,054","15,974,369",N/A
ASP SHIP MANAGEMENT PTY LTD,81080401949,"63,130",0,"863,153",N/A
ATCO AUSTRALIA PTY. LTD.,74091033546,"1,104,674","59,068","12,416,773",N/A
Atlas Iron Limited,63110396168,"95,595","4,067","1,403,587",N/A
Aurizon Holdings Ltd,14146335622,"765,258","427,317","12,785,920",N/A
AURORA ENERGY PTY LTD,85082464622,"5,323","47,223","920,326",N/A
AUSCAN HOLDINGS PTY LIMITED,70084400886,"127,434",39,"9,783,974",N/A
AUSGRID,67505337385,"30,643","908,539","4,071,551",N/A
AusNet Services (Transmission) Ltd,48116124362,"27,653","1,538,840","4,788,039",N/A
AusNet Services Holdings Pty Ltd,97086006859,"156,726","574,905","2,043,304",N/A
AUSTIN HEALTH,96237388063,"12,465","54,421","408,967",N/A
AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD,11005357522,"8,376","146,546","655,930",N/A
AUSTRALIA PACIFIC AIRPORTS CORPORATION LIMITED,89069775266,"7,738","67,846","355,140",N/A
Australian Consolidated Food Holdings Pty Limited,152947101,"40,188","94,704","918,495",N/A
Australian Gas Networks Limited,19078551685,"463,444",81,"23,136",N/A
AUSTRALIAN NATIONAL UNIVERSITY,52234063906,"16,847","88,071","611,336",N/A
AUSTRALIAN NUCLEAR SCIENCE AND TECHNOLOGY ORGANISATION,47956969590,"2,214","64,136","237,963",N/A
AUSTRALIAN POSTAL CORPORATION,28864970579,"118,298","188,853","2,500,186",N/A
Automotive Holdings Group Limited,35111470038,"173,779","73,359","2,793,490",N/A
Aveng Australia Holdings Pty Ltd,33108058331,"47,364","5,055","698,431",N/A
Axia Energy Australia Pty Ltd,75108275216,"480,237",0,"5,876,456",N/A
AZSA Holdings Pty Limited,51082714770,"5,336,076","723,561","15,376,506",N/A
B.M.D. HOLDINGS PTY. LIMITED,47010093348,"46,183","9,874","707,547",N/A
Baiada Pty Limited,47000426808,"67,142","165,661","1,745,526",N/A
BARRICK (AUSTRALIA PACIFIC HOLDINGS) PTY LTD,68085702558,"99,426","215,381","2,472,042",N/A
BARRICK (PD) AUSTRALIA LIMITED,80050284967,"13,411","59,969","513,101",N/A
BC IRON LIMITED,21120646924,"53,909",39,"779,600",N/A
BEACH ENERGY LIMITED,20007617969,"62,696",614,"446,972",N/A
Bechtel (Western Australia) Pty Ltd,25147531226,"229,225",0,"2,863,147",N/A
Bechtel Australia Proprietary Limited,42006334505,"71,903","3,048","964,035",N/A
Bega Cheese Limited,81008358503,"48,193","94,810","1,537,676",N/A
BG International (AUS) Investments Pty Limited,86131104651,"1,312,920","61,839","10,088,563",N/A
BGC (Australia) Pty Ltd,62005736005,"111,958","87,345","2,483,328",N/A
BHCA PTY LIMITED,99126164163,"9,304","69,147","393,380",N/A
BHP Billiton Aluminium Australia Pty Ltd,65063671349,"2,893,396","446,616","46,419,781",N/A
BHP Billiton Energy Coal Australia Pty Ltd,79057364315,"444,812","84,157","6,834,722",N/A
BHP BILLITON LIMITED,49004028077,"5,774,019","2,084,705","56,112,074",N/A
Bidvest Australia Limited,33000228231,"19,946","44,642","395,998",N/A
BIG BEN HOLDINGS PTY. LIMITED,63008434562,"73,060","24,775","1,064,455",N/A
BILLITON MANGANESE AUSTRALIA PTY LTD,33084205014,"582,711","174,351","9,545,503",N/A
Blacktown Waste Services Pty Limited,21102860944,"51,221",92,"14,608",N/A
BlueScope Steel Limited,16000011058,"5,699,865","917,908","69,324,056",N/A
Bluewaters Power 1 Pty Ltd,93106034879,"1,298,437","4,138","8,470,090",N/A
Bluewaters Power 2 Pty Ltd,57122896968,"1,302,864","1,045","8,227,734",N/A
BM Alliance Coal Operations Pty Ltd,67096412752,"2,199,209","999,466","25,886,049",N/A
BOC Limited,95000029729,"23,425","563,217","2,913,943",N/A
BOEING AUSTRALIA HOLDINGS PROPRIETARY LIMITED,42101168932,"7,875","42,322","277,952",N/A
Boral Limited,13008421761,"1,979,924","443,323","17,015,736",N/A
BORG MANUFACTURING PTY LIMITED,31003246357,"32,561","100,056","1,711,489",N/A
BP Australia Investments Pty Ltd,66102991551,"1,367,801","480,056","31,585,049",N/A
BRADKEN LIMITED,33108693009,"27,683","72,440","839,387",N/A
BRICKWORKS LTD,17000028526,"224,005","96,020","4,596,110",N/A
BRISBANE CITY COUNCIL,72002765795,"203,934","17,141","1,714,112",N/A
BUILDING SUPPLIES GROUP HOLDINGS PTY LIMITED,88121366041,"50,806","176,146","6,759,714",N/A
C S Energy Limited,54078848745,"9,942,180","168,445","72,706,423","The identified Joint Venture participants have each included the same data for the Callide C Power Station in their NGER reports. This is because neither participant had the greatest ability to introduce and implement the operating and environmental policies in relation to the facility, and a nomination of operational control has not been made. For further information refer to the 2013-14 greenhouse and energy information for designated generation facilities."
Caledon Coal Pty Limited,40120967839,"104,624","16,960","137,827",N/A
Caltex Australia Limited,40004201307,"1,704,466","269,848","74,373,816",N/A
CARGILL AUSTRALIA LIMITED,42004684173,"91,564","62,839","1,957,095",N/A
CBH Resources Limited,27009423858,"10,248","84,972","501,215",N/A
Cement Australia Holdings Pty Ltd,99001085561,"2,505,669","217,751","11,997,754",N/A
CEMENT AUSTRALIA PTY LIMITED,75104053474,"39,390","10,793","617,964",N/A
Centennial Coal Company Limited,30003714538,"1,302,610","282,518","1,615,454",N/A
CEVA PTY LTD,27122147433,"99,965","31,351","1,550,389",N/A
Charter Hall Limited,57113531150,"6,007","103,724","476,254",N/A
Chemco Pty Ltd,68008725817,"38,195","144,803","3,202,423",N/A
CHEVRON AUSTRALIA HOLDINGS PTY LTD,60098079344,"674,280","11,601","11,252,966",N/A
Chinova  Resources Limited,20107689878,"53,562",59,"930,183",N/A
CITIC Pacific Mining Management Pty Ltd,64119578371,"372,265",293,"6,956,846",N/A
CKI Utilities Development Ltd & HEI Utilities Development Ltd & 3 Oths,13332330749,"13,596","480,063","2,953,958",N/A
CLIFFS ASIA PACIFIC IRON ORE PTY LTD,46001892995,"155,698",342,"2,262,099",N/A
CMOC Mining Pty Limited,17164997317,"8,865","130,883","670,834",N/A
COCA-COLA AMATIL LIMITED,26004139397,"47,223","144,555","1,409,997",N/A
COCKATOO COAL LIMITED,13112682158,"53,542",0,"613,413",N/A
COMFORTDELGRO CABCHARGE PTY LTD,84002072004,"80,788","3,545","1,169,322",N/A
Comgen Australia Pty Ltd,17050242441,"399,089","12,258","1,219,842",N/A
Commonwealth Bank of Australia,48123123124,"11,691","158,881","828,400",N/A
Commonwealth Scientific and Industrial Research Organisation,41687119230,"15,184","108,901","692,902",N/A
COMPETITIVE FOODS AUSTRALIA PTY LTD,48010542908,"21,469","135,733","961,375",N/A
ConocoPhillips Australia Gas Holdings Pty Ltd,69081089170,"2,414,412","2,576","39,365,722",N/A
Consolidated Minerals Holdings (Australia) Pty Ltd,88127662257,"68,609",678,"1,003,133",N/A
CONTRACT POWER AUSTRALIA PTY LTD,48081538258,"105,367",0,"1,502,962",N/A
Co-operative Bulk Handling Limited,29256604947,"9,836","55,258","396,497",N/A
CRAIG MOSTYN HOLDINGS PTY LIMITED,14008398356,"40,323","14,831","451,502",N/A
Cristal Australia Pty Ltd,21102888559,"71,940","82,554","1,383,406",N/A
Cristal Inorganic Chemicals Australia Pty Ltd,20125123784,"122,114","43,527","2,351,798",N/A
CROCODILE GOLD AUSTRALIA PTY LTD,30136505587,"10,850","40,522","367,166",N/A
Crown Resorts Limited,39125709953,"33,748","140,991","1,028,316",N/A
CSL Limited,99051588348,"13,910","70,803","487,385",N/A
CSR Limited,90000001276,"308,605","226,040","5,933,439",N/A
CST Mineral Lady Annie Pty Limited,90136930222,"22,834","28,346","520,735",N/A
D&R Henderson Pty Ltd,22000449392,"17,454","40,255","595,312",N/A
DALRYMPLE BAY COAL TERMINAL PTY. LTD.,12010268167,"1,378","90,046","416,060",N/A
David Jones Limited,75000074573,"5,013","82,690","355,277",N/A
DBNGP (WA) Transmission Pty Limited,69081609190,"272,025","1,581","4,772,087",N/A
DEAKIN UNIVERSITY,56721584203,"8,196","56,067","327,547",N/A
Delta Electricity,67139819642,"8,221,081","60,285","60,183,012",N/A
DEXUS HOLDINGS PTY LIMITED,48110366946,"10,745","118,875","591,107",N/A
Diamantina Holding Company Pty Limited,59149762130,"160,330",315,"2,359,801",N/A
DORAL PTY LTD,85008902841,"14,560","44,962","437,803",N/A
DOWNER EDI LIMITED,97003872848,"155,319","44,406","2,996,080",N/A
DP World Australia (Holding) Pty Ltd,58147892715,"28,317","48,794","678,287",N/A
EASTERN HEALTH,68223819017,"6,090","47,012","257,747",N/A
EASTERN METROPOLITAN REGIONAL COUNCIL,89631866056,"98,772",771,"35,311",N/A
ECHO ENTERTAINMENT GROUP LIMITED,85149629023,"9,566","103,865","627,242",N/A
Ecogen Holdings Pty Ltd,78102872524,"139,288","30,146","1,994,297",N/A
ELECTRANET PTY LIMITED,41094482416,"4,352","206,344","1,228,984",N/A
Electricity Generation and Retail Corporation,58673830106,"6,617,265","4,480","54,793,330",N/A
ELECTRICITY NETWORKS CORPORATION,18540492861,"42,864","928,103","4,801,331",N/A
ENDEAVOUR ENERGY,59253130878,"21,901","574,103","2,658,628",N/A
ENERGEX LIMITED,40078849055,"21,025","948,525","4,613,821",N/A
Energy Developments Limited,84053410263,"1,276,231","2,385","19,042,697",N/A
EnergyAustralia Holdings Limited,57101876135,"20,605,152","221,209","162,140,172",N/A
ERGON ENERGY CORPORATION LIMITED,50087646062,"98,034","759,792","4,335,658",N/A
ERM Power Limited,28122259223,"94,115","5,622","1,326,378",N/A
Esperance Power Station Pty Ltd,24086409949,"59,812",0,"883,250",N/A
Essential Energy,37428185226,"36,166","775,165","3,629,800",N/A
Evolution Mining Limited,74084669036,"75,487","206,214","2,054,394",N/A
EXXONMOBIL AUSTRALIA PTY LTD,48091561198,"2,295,329","251,217","185,657,635",N/A
F & F MANAGEMENT PTY. LTD,36133040721,"1,532","60,856","268,263",N/A
Fairfax Media Limited,15008663161,"8,357","60,572","361,801",N/A
FARSTAD SHIPPING (INDIAN PACIFIC) PTY. LTD.,40105011989,"199,686",0,"2,891,198",N/A
Federation Limited,90114757783,"3,073","103,185","448,470",N/A
Fletcher Building (Australia) Pty Ltd,11093539452,"81,823","301,359","3,939,219",N/A
FMR Investments Pty Ltd,24757019296,"47,217","12,500","743,159",N/A
Food Investments Pty Ltd,85008426177,"96,127","139,528","2,173,379",N/A
FORD MOTOR COMPANY OF AUSTRALIA LIMITED,30004116223,"18,031","144,562","778,577",N/A
FORESTRY CORPORATION OF NEW SOUTH WALES,43141857613,"64,583","1,498","933,167",N/A
FORTESCUE METALS GROUP LTD,57002594872,"1,563,779","289,920","24,205,083",N/A
FOSTER'S GROUP PTY LTD,49007620886,"39,741","82,611","1,016,698",N/A
FQM Australia Holdings Pty Ltd,77136613075,"124,445",28,"2,879,601",N/A
FREQUENCY INFRASTRUCTURE AUSTRALIA HOLDINGS PTY LTD,27136262952,"2,222","120,409","529,226",N/A
FRITO-LAY AUSTRALIA HOLDINGS PTY LIMITED,36099027746,"31,431","32,292","732,155",N/A
Fujitsu Australia Limited,19001011427,719,"122,032","498,318",N/A
FULTON HOGAN AUSTRALIA PTY LTD,42135849115,"86,205","20,551","1,595,873",N/A
GENERAL MOTORS AUSTRALIA LTD,85103162956,"31,693","92,803","1,039,371",N/A
GHP 104 160 689 PTY LTD,41104160689,"3,380,554","1,184,521","22,565,608",N/A
GLADSTONE PORTS CORPORATION LIMITED,96263788242,"42,606","72,085","1,050,783",N/A
Glencore Investment Pty Ltd,67076513034,"517,228",262,"7,536,522",N/A
Glideco Pty Limited,25147996263,"12,812","85,781","542,613",N/A
GLOBAL SWITCH AUSTRALIA PTY LIMITED,65094338333,72,"145,282","602,207",N/A
Gold Fields Australia Pty Ltd,91098385285,"240,819","155,624","4,574,187",N/A
