Controlling Corporation ,ABN,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ),Important Notes
A B C TISSUE PRODUCTS PTY LTD,33003085112,"26,584","86,999","775,366",N/A
A.A. Scott Pty Ltd,14007601667,"155,674","6,966","2,270,880",N/A
A.C.N. 085 239 998 PTY LTD,39085239998,"7,420","187,055","899,646",N/A
A.J. Bush & Sons Pty Ltd,77000134010,"66,236","19,179","964,268",N/A
AAPC LIMITED,87009175820,"19,015","167,948","1,038,942",N/A
Adelaide Brighton Limited,15007596018,"2,285,288","269,882","14,948,998",N/A
ADITYA BIRLA MINERALS LIMITED,37103515037,"73,376","4,229","1,417,985",N/A
Aeris Resources Limited,30147131977,"17,815","65,459","528,890",N/A
AGL Energy Limited,74115061375,"38,346,476","495,693","300,106,540","AGL Energy Limited purchased Macquarie Generation in September 2014. This includes the Bayswater Power Station, Liddell Power Station and Hunter Valley Gas Turbines facilities.  Macquarie Generation reported these facilities for part of the 2014-15 financial year and AGL Energy Limited reported for the remainder of the year."
AIR LIQUIDE AUSTRALIA LIMITED,57004385782,"6,009","280,879","1,224,544",N/A
ALCAN GOVE PTY LIMITED,76000453663,"212,219",0,"2,725,392",N/A
Alcoa Australian Holdings Pty Ltd,33096987370,"7,647,297","5,468,537","137,903,092",N/A
ALDI Foods Pty Limited,18086210139,"33,264","208,052","1,265,930",N/A
Alinta Energy Finance Pty Ltd,39149229998,"4,628,228","15,946","46,642,668",N/A
ALLIANCE AIRLINES PTY LIMITED,81107165980,"159,094","1,355","2,292,104",N/A
Amcor Limited,62000017372,"7,565","64,333","356,044",N/A
AMP LIMITED,49079354519,"9,021","112,962","563,253",N/A
Anglo American Australia Limited,47004892371,"4,072,345","630,688","13,072,831",N/A
AngloGold Ashanti Australia Limited,42008737424,"337,149",317,"5,191,193",N/A
APT PIPELINES LIMITED,89009666700,"350,922","26,857","3,177,910",N/A
Ardent Leisure Limited,22104529106,"2,677","55,581","283,328",N/A
Arnotts Biscuits Holdings Pty Ltd,84080889621,"28,325","55,823","786,684",N/A
Arrium Limited,63004410833,"2,852,625","1,175,472","39,082,437",N/A
Arrow Energy Holdings Pty Ltd,94141385293,"1,727,037","33,451","24,713,923",N/A
Asahi Holdings (Australia) Pty Ltd,48135315767,"18,325","56,480","552,036",N/A
Asaleo Care Limited,61154461300,"44,016","156,334","1,331,875",N/A
ASCIANO LIMITED,26123652862,"1,034,029","167,760","15,556,729",N/A
ASP SHIP MANAGEMENT PTY LTD,81080401949,"55,301",0,"758,643",N/A
ATCO AUSTRALIA PTY. LTD.,74091033546,"1,122,880","46,148","12,983,701",N/A
ATCO GAS AUSTRALIA PTY LTD,76151245779,"122,178",485,"33,227",N/A
Atlas Iron Limited,63110396168,"58,604","6,195","883,268",N/A
Aurizon Holdings Ltd,14146335622,"693,224","429,103","11,856,702",N/A
AUSCAN HOLDINGS PTY LIMITED,70084400886,"107,747",41,"1,480,369",N/A
AUSGRID,67505337385,"26,393","942,184","4,179,168",N/A
AusNet Services (Transmission) Ltd,48116124362,"16,929","1,498,281","4,621,302",N/A
AusNet Services Holdings Pty Ltd,97086006859,"152,652","640,784","2,200,014",N/A
AUSTIN HEALTH,96237388063,"15,673","54,990","471,304",N/A
AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD,11005357522,"8,044","139,449","625,385",N/A
AUSTRALIA PACIFIC AIRPORTS CORPORATION LIMITED,89069775266,"8,142","65,197","350,713",N/A
Australian Gas Networks Limited,19078551685,"461,486",183,"26,059",N/A
AUSTRALIAN NATIONAL UNIVERSITY,52234063906,"14,921","83,858","601,250",N/A
AUSTRALIAN NUCLEAR SCIENCE AND TECHNOLOGY ORGANISATION,47956969590,"2,759","66,199","255,130",N/A
AUSTRALIAN POSTAL CORPORATION,28864970579,"114,556","181,954","2,425,393",N/A
Automotive Holdings Group Limited,35111470038,"191,147","76,417","3,057,307",N/A
Axia Energy Australia Pty Ltd,75108275216,"460,102",0,"5,563,822",N/A
B.M.D. HOLDINGS PTY. LIMITED,47010093348,"56,551","1,206","819,001",N/A
Baiada Pty Limited,47000426808,"66,188","132,076","1,487,969",N/A
BARRICK (AUSTRALIA PACIFIC HOLDINGS) PTY LTD,68085702558,"60,721","214,235","1,780,731",N/A
BC IRON LIMITED,21120646924,"54,647",60,"788,158",N/A
BEACH ENERGY LIMITED,20007617969,"52,725",354,"354,152",N/A
Bechtel (Western Australia) Pty Ltd,25147531226,"154,067",0,"1,724,832",N/A
Bechtel Australia Proprietary Limited,42006334505,"527,498","3,307","9,731,993",N/A
Bega Cheese Limited,81008358503,"48,447","95,577","1,560,227",N/A
BG International (AUS) Investments Pty Limited,86131104651,"1,975,424","747,256","16,690,300",N/A
BGC (Australia) Pty Ltd,62005736005,"125,823","84,996","2,627,182",N/A
BHCA PTY LIMITED,99126164163,"10,939","53,993","327,922",N/A
BHP Billiton Energy Coal Australia Pty Ltd,79057364315,"449,281","85,779","6,375,654",N/A
