Controlling corporation,ABN,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ),Important Notes
A B C TISSUE PRODUCTS PTY LTD,33003085112,"25,224","57,381","736,387",-
A.A. SCOTT PROPRIETARY LIMITED,14007601667,"215,123","8,029","3,096,878",-
A.C.N. 085 239 998 PTY LTD,39085239998,"2,293","169,795","753,611",-
A.J. BUSH & SONS PTY LTD,77000134010,"75,627","17,725","876,921",-
AAPC LIMITED,87009175820,"20,894","159,136","1,050,833",-
ADELAIDE BRIGHTON LTD,15007596018,"2,186,722","249,640","14,397,251",-
AERIS RESOURCES LIMITED,30147131977,"18,485","66,775","548,389",-
AGL ENERGY LIMITED,74115061375,"43,258,798","526,700","337,701,422",-
AIR LIQUIDE AUSTRALIA LIMITED,57004385782,"6,900","260,191","1,193,894",-
AIRWORK FLIGHT OPERATIONS PTY LTD,13119011871,"51,020",0,"726,700",-
ALCOA AUSTRALIAN HOLDINGS PTY LTD,33096987370,"6,565,296","5,184,471","128,219,644",-
ALDI FOODS PTY LIMITED,18086210139,"35,175","222,379","1,373,615",-
ALINTA ENERGY FINANCE PTY LTD,39149229998,"3,970,721","14,583","37,458,406",-
ALKANE RESOURCES LTD,35000689216,"23,841","31,252","474,460",-
ALLIANCE AIRLINES PTY LIMITED,81107165980,"142,818","1,082","2,039,788",-
AMCOR LTD,62000017372,"7,497","60,875","351,635",-
AMERICOLD LOGISTICS LIMITED,58004902998,"8,244","43,480","291,993",-
AMP LIMITED,49079354519,"10,881","106,203","564,924",-
ANGLO AMERICAN AUSTRALIA LIMITED,47004892371,"4,668,671","650,328","11,932,604",-
ANGLOGOLD ASHANTI AUSTRALIA LIMITED,42008737424,"340,066",315,"5,400,324",-
APT PIPELINES LIMITED,89009666700,"402,695","26,487","4,278,763",-
ARDENT LEISURE LIMITED,22104529106,"2,753","56,447","296,078",-
ARNOTTS BISCUITS HOLDINGS PTY LTD,84080889621,"28,982","54,259","801,385",-
ARRIUM LIMITED,63004410833,"2,694,642","1,131,809","37,229,046",-
ARROW ENERGY HOLDINGS PTY LTD,94141385293,"947,288","32,785","14,435,135",-
ASAHI HOLDINGS (AUSTRALIA) PTY LTD,48135315767,"18,821","59,272","579,429",-
ASALEO CARE LIMITED,61154461300,"44,193","152,667","1,341,220",-
ASCIANO LIMITED,26123652862,"1,015,514","150,377","15,134,018",-
ATCO AUSTRALIA PTY LTD,74091033546,"731,825",831,"8,750,252",-
ATCO GAS AUSTRALIA GP PTY LTD,76151245779,"159,698",487,"36,190",-
ATLAS IRON LIMITED,63110396168,"67,839","7,680","1,022,150",-
AURIZON HOLDINGS LIMITED,14146335622,"656,639","434,712","11,070,293",-
AUSCAN HOLDINGS PTY LIMITED,70084400886,"110,927",40,"1,394,734",-
AUSGRID,67505337385,"24,069","928,015","4,173,229",-
AUSNET SERVICES (TRANSMISSION) LTD,48116124362,"23,493","1,461,373","4,733,385",-
AUSNET SERVICES HOLDINGS PTY LTD,97086006859,"174,761","556,481","2,033,433",-
AUSTIN HEALTH,96237388063,"15,023","50,172","449,793",-
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,11005357522,"8,295","128,456","606,579",-
AUSTRALIA PACIFIC AIRPORTS CORPORATION LIMITED,89069775266,"9,278","71,100","400,672",-
AUSTRALIAN GAS NETWORKS LIMITED,19078551685,"559,934",196,"39,327",-
AUSTRALIAN NATIONAL UNIVERSITY,52234063906,"13,281","83,249","595,101",-
AUSTRALIAN NUCLEAR SCIENCE AND TECHNOLOGY ORGANISATION,47956969590,"9,132","63,106","254,277",-
AUSTRALIAN POSTAL CORPORATION,28864970579,"119,126","170,363","2,442,848",-
AUTOMOTIVE HOLDINGS GROUP LIMITED,35111470038,"213,504","70,700","3,335,263",-
AXIA ENERGY AUSTRALIA PTY LTD,75108275216,"458,892",0,"5,486,433",-
B.M.D. HOLDINGS PTY LIMITED,47010093348,"83,995","1,240","1,202,503",-
BAIADA PTY LTD,47000426808,"68,511","169,500","1,946,655",-
BAYBRICK PTY LTD,97067220017,"221,061","276,525","3,704,614",-
BECHTEL (WESTERN AUSTRALIA) PTY LTD,25147531226,"105,543",204,"1,515,054",-
BECHTEL AUSTRALIA PROPRIETARY LIMITED,42006334505,"278,040","1,025","2,813,210",-
BEGA CHEESE LIMITED,81008358503,"48,124","93,343","1,516,764",-
