,,EMISSIONS,,annual electricity generation by fuel type (GWh),,,,,,,,consumption by tonne,,ENERGY CONSUMPTION BY FUEL TYPE (PETAjOULES),,,,DOMESTIC MATERIAL CONSUMPTION PER CAPITA,,FUEL SALES (mega Litres),,,,CONSUMPTION OF MAJOR LIQUID FUELS (GIGALITRES),,,,,,CO2 EMISSIONS FROM GAS FUEL CONSUMPTION (KT),,,CO2 emissions from fuel combustion (mt CO2),,,,,NUMBER OF VEHICLES,,,,,,,FUEL TYPE USE,,,,RATE OF FUEL CONSUMPTION L/100KM,,,,,,,AVERAGE KMS / YEAR (total),,,,,,,,,,,,,,"Transport emissions, 1990 to 2030 (Mt CO2-e)",,,,,,,,,"Fugitive emissions, 1990 to 2030 (Mt CO2-e)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Population,Transport emissions (MegaTonne CO2),electricity emmissions (mt CO2),  Black coal,  Brown coal,  Natural gas,  Oil products,  Biomass,  Wind,  Hydro,  Small-scale solar PV,Biomass,Fossil Fuel,Coal,Oil,Gas,Renewables,Biomass,Fossil Fuel,Automotive gasoline,Aviation diesel oil,Aviation turbine fuel,Aviation gasoline,automotive gasoline,ethanol blended,diesel,aviation turbine fuel,liquid petroleum gas,fuel oil,GAS,LIQUID FUEL,SOLID FUEL,GDP per capita,Energy intensity,Carbon dioxide emissions from fuel,Carbon intensity of energy,direct Combustion emissions,No. Passenger vehicles,No. light commercial vehicles,no. trucks,no. buses,no. motorcycles,No. Railways,No. Domestic aviation,No. vehicles using leaded,no. vehicles using unleaded,No. vehicles using diesel,No. vehicles using other,passenger vehicles,light commercial vehicles,trucks,buses,motorcycles,Railways,Domestic aviation,No. passenger vehicles for business use,No. passenger vehicles for personal use,No. light commercial vehicles for business use,No. light commercial vehicles for personal use,No. trucks for business use,No. trucks for personal use,No. buses for business use,No. buses for personal use,No. motorcycles for business use,No. motorcycles for personal use,Railways,No. domestic aviation flights,No. passengers Domestic aviation,Cars,Light commercial vehicles,Motorcycles,Buses,Rigid trucks,Articulated trucks,Domestic aviation,Domestic shipping,Railways,Other transportation,Open cut coal mines,Underground coal mines,Oil,Million tonne kms of railway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,15054117,,,,,,,,,,,131173448.3,108274194,1 229.2,1 339.0, 462.0, 210.7,8.8,7.3,3 839.9,na,na,na,,,,,,,"20,378","85,745","121,242",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,15288891,,,,,,,,,,,111487576.3,118038450,1 194.9,1 262.7, 466.2, 203.5,7.3,7.8,3 904.4,na,na,na,,,,,,,"22,548","85,133","123,574",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,15483496,,,,,,,,,,,144927953.5,114115532,1 228.3,1 306.7, 490.0, 200.9,9.4,7.4,3 882.4,na,na,na,,,,,,,"22,809","76,952","122,390",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,15677282,,,,,,,,,,,134257258.2,107932314,1 334.2,1 306.6, 523.3, 212.9,8.6,6.9,4 014.8,na,na,na,,,,,,,"24,070","81,473","128,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,15900566,,,,,,,,,,,121731293.2,109035336,1 316.4,1 304.9, 570.7, 214.9,7.7,6.9,4 101.0,1 941.7,na,na,,,,,,,"30,172","71,969","135,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"897,446","34,512,233",,,,,,,,,,,,,,7 108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,16138769,,,,,,,,,,,125243474.6,116958656,1 401.5,1 315.8, 588.4, 214.5,7.8,7.3,4 109.0,1 918.2,na,na,,,,,,,"28,115","74,007","134,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"905,271","36,198,735",,,,,,,,,,,,,,7 379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,16394641,,,,,,,,,,,122941143.6,133464704,1 430.7,1 369.3, 610.5, 218.4,7.6,8.2,4 231.0,1 958.9,na,na,,,,,,,"28,995","76,413","147,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"927,532","39,574,453",,,,,,,,,,,,,,8 038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,16687082,,,,,,,,,,,134674928,115230586,1 548.4,1 433.2, 627.8, 228.7,8.1,7,4 320.0,2 067.9,na,na,,,,,,,"29,710","77,271","150,626",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"968,517","40,926,163",,,,,,,,,,,,,,9 149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,16936723,,,,,,,,,,,133928997,138173860,1 576.1,1 452.7, 688.1, 233.0,8,8.2,4 414.0,2 133.1,na,na,,,,,,,"30,370","81,503","161,924",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"798,762","31,975,932",,,,,,,,,,,,,,10 451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
